Ticket ID,Ticket Type,Ticket Class,Base Price,Age,Discount Category,Final Price,Journey Status,Refund Request,Delay Reason,Payment Method,Method,Start Station,End Station,Journey Date,Gender
TKT1000000,1 Month,Standard,140,79,Senior,70.0,On Time,No,,Apple Pay,Darb App,King Fahad Library,Imam University,2025-01-23,Female
TKT1000001,7 Days,First Class,100,13,School Student,50.0,Cancelled,Yes,,Card,Gate Payment,King Fahad District,Qasr Al Hokm,2025-04-14,Male
TKT1000002,3 Days,First Class,50,25,University Student,25.0,Delayed,No,Maintenance,Apple Pay,Darb App,Ghornata,Qasr Al Hokm,2024-12-23,Female
TKT1000003,2 Hours,Standard,4,8,School Student,2.0,On Time,No,,Apple Pay,TVM,Alinma,KKIA,2025-04-06,Female
TKT1000004,2 Hours,Standard,4,68,Senior,2.0,On Time,No,,Apple Pay,Darb App,National Museum,SABB,2024-12-22,Female
TKT1000005,7 Days,Standard,40,36,Adult,40.0,On Time,No,,Apple Pay,Darb App,Ghornata,Olaya,2024-12-14,Male
TKT1000006,7 Days,First Class,100,25,University Student,50.0,Delayed,No,Maintenance,Card,Ticket Office,Manfouha,Al Worood,2024-12-18,Male
TKT1000007,3 Days,Standard,20,31,Adult,20.0,Delayed,No,Technical Issue,Apple Pay,TVM,King Saud,Princess Nourah University,2024-12-19,Female
TKT1000008,3 Days,First Class,50,27,University Student,25.0,Delayed,No,Maintenance,Card,Darb App,West Station,SABB,2025-03-27,Male
TKT1000009,1 Month,Standard,140,36,Adult,140.0,On Time,No,,Card,Darb App,Imam University,Al Dooh,2025-03-31,Male
TKT1000010,7 Days,First Class,100,5,Child,0.0,Cancelled,Yes,,Card,Gate Payment,Al Muruj,Olaya,2025-04-19,Female
TKT1000011,1 Month,Standard,140,31,Adult,140.0,Delayed,No,Technical Issue,Apple Pay,TVM,Al Rabi,Al Nuzha,2024-12-03,Male
TKT1000012,3 Days,First Class,50,38,Adult,50.0,Delayed,No,Technical Issue,Card,Darb App,Qasr Al Hokm,Al Dhubab,2024-12-14,Female
TKT1000013,3 Days,First Class,50,58,Adult,50.0,Cancelled,Yes,,Cash,TVM,Bank Albilad,Manfouha,2025-04-07,Female
TKT1000014,1 Month,First Class,350,29,University Student,175.0,Cancelled,Yes,,Card,TVM,Al Worood,West Station,2025-01-07,Male
TKT1000015,1 Month,Standard,140,21,University Student,70.0,Delayed,No,Technical Issue,Card,Darb App,Al Rabi,KAFD,2025-03-09,Male
TKT1000016,7 Days,First Class,100,75,Senior,50.0,On Time,No,,Card,Ticket Office,Alinma,Al Batha,2025-05-01,Female
TKT1000017,2 Hours,First Class,10,8,School Student,5.0,Delayed,No,Maintenance,Card,Ticket Office,Al Aziziyah,Manfouha,2025-01-03,Male
TKT1000018,7 Days,Standard,40,22,University Student,20.0,Cancelled,Yes,,Apple Pay,Darb App,SABB,Al Worood,2025-01-23,Female
TKT1000019,1 Month,Standard,140,30,University Student,70.0,Delayed,No,Technical Issue,Apple Pay,Darb App,Alinma,King Fahad Library,2025-04-06,Male
TKT1000020,7 Days,Standard,40,5,Child,0.0,Cancelled,Yes,,Apple Pay,Gate Payment,KSU,Ghornata,2025-03-22,Male
TKT1000021,1 Month,First Class,350,41,Adult,350.0,Cancelled,Yes,,Card,Darb App,Al Muruj,Bank Albilad,2025-02-18,Female
TKT1000022,3 Days,First Class,50,54,Adult,50.0,Cancelled,Yes,,Card,Gate Payment,King Fahad Library,Imam University,2025-04-29,Male
TKT1000023,7 Days,Standard,40,72,Senior,20.0,Delayed,No,Maintenance,Apple Pay,Gate Payment,Princess Nourah University,King Fahad Library,2024-12-02,Male
TKT1000024,3 Days,First Class,50,16,School Student,25.0,Delayed,No,Maintenance,Apple Pay,TVM,Sulaimaniah,Ad Dar Al Baida,2025-04-16,Female
TKT1000025,1 Month,First Class,350,25,University Student,175.0,On Time,No,,Apple Pay,Ticket Office,Al Dhubab,STC,2025-01-31,Male
TKT1000026,2 Hours,First Class,10,18,School Student,5.0,Delayed,No,Maintenance,Card,Gate Payment,Ad Dar Al Baida,Al Dooh,2025-01-11,Male
TKT1000027,3 Days,First Class,50,51,Adult,50.0,Delayed,No,Maintenance,Apple Pay,Gate Payment,Bank Albilad,Alinma,2025-02-06,
TKT1000028,2 Hours,Standard,4,78,Senior,2.0,Delayed,No,Maintenance,Card,Darb App,Al Dooh,King Saud,2025-03-19,Male
TKT1000029,2 Hours,First Class,10,69,Senior,5.0,Delayed,No,Technical Issue,Card,Ticket Office,STC,Olaya,2024-12-02,Male
TKT1000030,2 Hours,Standard,4,9,School Student,2.0,On Time,No,,Apple Pay,Gate Payment,STC,King Fahad District,2024-12-20,Male
TKT1000031,1 Month,Standard,140,3,Child,0.0,Delayed,No,Technical Issue,Card,TVM,Bank Albilad,Al Oruba,2025-04-11,Male
TKT1000032,2 Hours,Standard,4,11,School Student,2.0,Delayed,No,Technical Issue,Card,Gate Payment,Al Batha,Al Yarmouk,2024-12-27,Female
TKT1000033,2 Hours,Standard,4,13,School Student,2.0,Delayed,No,Technical Issue,Apple Pay,Darb App,Al Batha,Ministry of Interior,2025-04-05,Male
TKT1000034,1 Month,Standard,140,44,Adult,140.0,Delayed,No,Maintenance,Apple Pay,TVM,Ad Dar Al Baida,Bank Albilad,2025-04-03,Male
TKT1000035,3 Days,Standard,20,62,Senior,10.0,On Time,No,,Apple Pay,Darb App,Al Dhubab,Al Yarmouk,2025-04-05,Male
TKT1000036,2 Hours,First Class,10,11,School Student,5.0,Delayed,No,Maintenance,Apple Pay,TVM,Qasr Al Hokm,Al Murabba,2025-04-01,Female
TKT1000037,7 Days,First Class,100,62,Senior,50.0,Cancelled,Yes,,Apple Pay,Gate Payment,West Station,KAFD,2025-03-14,Female
TKT1000038,7 Days,First Class,100,44,Adult,100.0,Delayed,No,Technical Issue,Card,Ticket Office,SABB,Al Muruj,2025-03-03,Female
